Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
CATIA,Systems Wind Power Library,"Rapidly model and simulate Wind Turbines at system-level for optimized performances",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-wind-power-library/?role=true,Engineer / Analyst,"Wind Turbine Systems",Energy,3
ENOVIA,Technical Illustrator for Composer,"Enables technical illustrators using CATIA and Solidworks Composer ,to collaborate, share ,reveal with 3DEXPERIENCE platform, the content and animation replay.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/technical-illustrator-for-composer/?role=true,Librarian / Scribe,"Technical Illustration (Composer)",Generic,2
CATIA,Templates & Rules Designer,"Increase design robustness and productivity, and reduce errors, by capturing company know-how and best practices in all design processes.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/templates-and-rules-designer/?role=true,Designer / Artisan,"Templates & Rules for CAD",Generic,2
CATIA,"Templates, Optimization & Rules Designer","Increase design robustness and productivity, reduce errors and optimize geometry, by capturing company know-how and best practices in all design processes.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/templates-optimization-and-rules-designer/?role=true,Designer / Artisan,"Templates, Optimization & Rules",Generic,3
BIOVIA,Therapeutics Data Scientist,"Advance drug discovery by building and managing chemistry-based machine learning models that refine your molecular design exploration space.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/therapeutics-data-scientist/?role=true,Alchemist / Scholar,"Drug Discovery (ML)","Life Sciences",3
DELMIA,Time Study Expert,"Analyze the time of manufacturing operations performed by workers based on proven supported time standard methods",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/time-study-expert/?role=true,Strategist / Guild Master,"Manufacturing Time Analysis",Generic,2
CATIA,Tire Designer,"Accelerate Tire Design utilizing simulation results to define advanced and complex Mechanical Surfaces. Replace physical prototypes with realistic visualization",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/tire-designer/?role=true,Designer / Artisan,"Tire Design (Surfaces)","Transportation & Mobility",3
CATIA,Transportation Designer,"A complete and unified industrial design solution for transportation designers who want to gain competitive advantage by design",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/transportation-designer/?role=true,Designer / Artisan,"Transportation Industrial Design","Transportation & Mobility",2
GEOVIA,Underground Mine Designer,"Generate and evaluate multiple development designs through an automated parametric process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/underground-mine-designer/?role=true,Urbanist / Cartographer,"Underground Mine Design","Mining",3
CATIA,Vehicle Creative Designer,"A Unified Creative Design workflow solution to Imagine, Create & Experience the Vehicle of tomorrow",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/vehicle-creative-designer/?role=true,Designer / Artisan,"Vehicle Creative Design","Transportation & Mobility",2
CATIA,Virtual & Real Reconstruction Designer,"Process scanned data from Real prototype to generate Virtual model Prepare Virtual model for 3DPrint Real prototypes",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/virtual-and-real-reconstruction-designer/?role=true,Designer / Artisan,"Scan/Reverse Engineering",Generic,3
DELMIA,Virtual Commissioning Analyst,"Execute virtual commissioning scenarios on a Manufacturing virtual twin including accurate simulation of equipment and sensors connected to a PLC program",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/virtual-commissioning-analyst/?role=true,Engineer / Analyst,"Virtual Commissioning",Generic,3
CATIA,Virtual Construction Engineer,"Quickly generate the construction mockup with industry-specific content, easily connecting the architecture model with the construction twin",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/virtual-construction-engineer/?role=true,Designer / Artisan,"Construction Mockup",Construction,2
CATIA,Virtual Reality Reviewer,"Immediately improve the understanding of your design with integrated & direct access to immersive Virtual Reality inside your 3DEXPERIENCE applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/virtual-reality-reviewer/?role=true,Illusionist / Performer,"VR Collaboration",Generic,2
3DEXCITE,Virtual Storyteller for Education,"A 100% cloud based solution that brings virtual product and process models into realistic, interactive experiences",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/virtual-storyteller-for-education/?role=true,Illusionist / Performer,"Educational VR / Storytelling",Education,1
CATIA,Visual Experience Content Collection,"Increase the performance of your design decisions with highly realistic ready-to-use Visual Content - of Materials, Humans, Props and Environments",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/visual-experience-content-collection/?role=true,Illusionist / Performer,"Visual Content Library",Generic,2
CATIA,Visual Experience Designer,"Realistic visualization and experience of your design for immediate, defined & accurate decisions, directly accessible in your native CAD applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/visual-experience-designer/?role=true,Illusionist / Performer,"Realistic Visualization",Generic,2
CATIA,Visual Script Designer,"Imagine, explore, capture and reuse more sophisticated designs and complex patterns, with algorithmic Design for a maximum team creativity & efficiency",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/visual-script-designer/?role=true,Designer / Artisan,"Algorithmic Visual Scripting",Generic,3
ENOVIA,Volume Computation Specialist,"Ease collaboration around geometrical representations, by creating simplified alternate representations of surrounding components or assemblies",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/volume-computation-specialist/?role=true,Librarian / Scribe,"Geometry Simplification / DMU",Generic,2
DELMIA,Warehouse Operations Analyst,"Improve warehouse logistic efficiency and costs by analyzing operations durations, stock levels and space utilization.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/warehouse-operations-analyst/?role=true,Strategist / Guild Master,"Warehouse Optimization",Generic,2
CATIA,Weight and Balance Designer,"Valuate, analyze and respect, Weight and Balance Metrics and Targets, in 3D configured product definition, in collaboration with weight manager.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/weight-and-balance-designer/?role=true,Engineer / Analyst,"Weight & Balance",Generic,2
CATIA,Weight and Balance Manager,"Master in 3D the convergence of the Weight, the Center of Gravity and Inertia of your entire configured product definition to reach 1st class performances.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/weight-and-balance-manager/?role=true,Engineer / Analyst,"Weight & Balance Management",Generic,3
DELMIA,Work Instructions Author,"Visually define work instructions for any process, from simple assembly prototyping to complex manufacturing by leveraging 3D product models",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/work-instructions-author/?role=true,Craftsman / Maker,"Work Instructions Creation",Generic,2
DELMIA,Work Instructions Creator,"Leverage process definition to author model based work instructions in the web",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/work-instructions-creator/?role=true,Craftsman / Maker,"Work Instructions Creation",Generic,1
DELMIA,Work Plan Viewer,"Improve first-time build quality and efficiency by reviewing Process information & related 3D work instructions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/work-plan-viewer/?role=true,Craftsman / Maker,"Work Instructions Review",Generic,1
DELMIA,Work Safety Engineer,"Human-Centered Workplace Design with Virtual Ergonomics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/work-safety-engineer/?role=true,Craftsman / Maker,"Workplace Safety & Ergonomics",Generic,2
ENOVIA,Workforce Manager,"Develop and mobilize talents across the enterprise to maximize performance and innovation.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/workforce-manager/?role=true,Strategist / Guild Master,"Talent / Workforce Management",Generic,2
